"Vocabulary","Term","Weight","Icon"
"hours","1-4 h/wk","0",""
"hours","5-7 h/wk","1",""
"hours","8-10 h/wk","2",""
"hours","11-14 h/wk","3",""
"hours","15+ h/wk","4",""
"how_hear","Sciences Director of Academic Engagement (DAE)","0",""
"how_hear","Student organization","1",""
"how_hear","Seminar/class","2",""
"how_hear","Faculty/staff","3",""
"how_hear","Other","4",""
"majors","Undeclared","0",""
"majors","African & African American Studies","1",""
"majors","Art History","2",""
"majors","Asian & Middle Eastern Studies","3",""
"majors","Biology","4",""
"majors","Biomedical Engineering","5",""
"majors","Biophysics","6",""
"majors","Canadian Studies","7",""
"majors","Chemistry","8",""
"majors","Civil & Environmental Engineering","9",""
"majors","Classics","10",""
"majors","Computational Biology & Bioinformatics","11",""
"majors","Computer Science","12",""
"majors","Cultural Anthropology","13",""
"majors","Dance","14",""
"majors","Earth & Ocean Sciences","15",""
"majors","Economics","16",""
"majors","Education","17",""
"majors","Electrical & Computer Engineering","18",""
"majors","Energy Engineering","19",""
"majors","English","20",""
"majors","Environmental Sciences","21",""
"majors","Environmental Sciences/Policy","22",""
"majors","Evolutionary Anthropology","23",""
"majors","Finance","24",""
"majors","French Studies","25",""
"majors","German","26",""
"majors","Global Health","27",""
"majors","Greek","28",""
"majors","History","29",""
"majors","Interdepartmental Major","30",""
"majors","International Comparative Studies","31",""
"majors","Italian Studies","32",""
"majors","Latin","33",""
"majors","Linguistics","34",""
"majors","Literature","35",""
"majors","Mathematics","36",""
"majors","Mechanical Engineering","37",""
"majors","Medieval & Renaissance Studies","38",""
"majors","Music","39",""
"majors","Neuroscience","40",""
"majors","Philosophy","41",""
"majors","Physics","42",""
"majors","Political Science","43",""
"majors","Pre-Health (non-major study pathway)","44",""
"majors","Program II (alternative major)","45",""
"majors","Psychology","46",""
"majors","Public Policy Studies","47",""
"majors","Religious Studies","48",""
"majors","Romance Studies","49",""
"majors","Russian","50",""
"majors","Slavic & Eurasian Studies","51",""
"majors","Sociology","52",""
"majors","Spanish","53",""
"majors","Statistical Science","54",""
"majors","Theater Studies","55",""
"majors","Visual & Media Studies","56",""
"majors","Women's Studies","57",""
"compensation","Paid - General","0",""
"compensation","Paid - Work-Study Required","1",""
"compensation","Unpaid - Ind. Study Credit","2",""
"compensation","Unpaid - Volunteer","3",""
"programs","Pre-health track","0",""
"programs","Biocore Scholar","1",""
"programs","Cardea Fellow","2",""
"categories","Architecture","0","fas fa-building"
"categories","Cultural Studies","0","fas fa-theater-masks"
"categories","Natural Resources and Conservation","1","fas fa-tint"
"categories","Legal Professions and Studies","2","fas fa-gavel"
"categories","Library Science","3","fas fa-book-reader"
"categories","Linguistics","4","fas fa-language"
"categories","Literature","5","fas fa-book"
"categories","Materials Science","6","fas fa-archway"
"categories","Mathematics","7","fas fa-calculator"
"categories","Mechanical Engineering","8","fas fa-truck"
"categories","Multi/Interdisciplinary Studies","9","fas fa-link"
"categories","Philosophy","10","fas fa-cloud"
"categories","History","11","fas fa-monument"
"categories","Physical Sciences","12","fas fa-atom"
"categories","Physics and Astronomy","13","far fa-star"
"categories","Plant Biology","14","fas fa-leaf"
"categories","Psychology","15","fas fa-brain"
"categories","Public Administration and Social Service","16","fas fa-child"
"categories","Religious Studies","17","fas fa-place-of-worship"
"categories","Social Sciences","18","fas fa-globe"
"categories","Statistics","19","fas fa-chart-line"
"categories","Humanities","20","fab fa-itunes-note"
"categories","Genetics and Evolution","21","fas fa-dna"
"categories","Area, Ethnic, Gender, and Group Studies","22","far fa-flag"
"categories","Communication, Journalism, and Related Programs","23","fas fa-pen-fancy"
"categories","Behavioral Sciences","24","fas fa-dog"
"categories","Biochemistry","25","fas fa-flask"
"categories","Biological Sciences","26","fas fa-dna"
"categories","Biomedical Engineering","27","fas fa-hospital-alt"
"categories","Biomedical Sciences","28","fas fa-hospital-alt"
"categories","Business, Management, Marketing","29","fas fa-briefcase"
"categories","Cell and Molecular Biology","30","fas fa-microscope"
"categories","Chemistry","31","fas fa-flask"
"categories","Computer and Information Sciences","32","fas fa-laptop-code"
"categories","Foreign Languages","33","fas fa-globe-asia"
"categories","Computer Science","34","fab fa-js"
"categories","Energy Initiative","35","fas fa-plug"
"categories","Earth and Environmental Science","36","fas fa-globe-americas"
"categories","Ecology","37","fab fa-pagelines"
"categories","Education","38","fas fa-university"
"categories","Engineering","39","fas fa-cogs"
"categories","English Language and Literature/Letters","40","fas fa-book"
"categories","Evolutionary Medicine","41","fas fa-notes-medical"
"categories","Family and Consumer Sciences/Human Sciences","42","fas fa-address-card"
"categories","Visual and Performing Arts","43","fas fa-theater-masks"
"years","Freshman","0",""
"years","Sophomore","1",""
"years","Junior","2",""
"years","Senior","3",""
